timestamp,model,prefix_cache,prompt_kind,batch_size,prompt_words,repeated_prefix_tokens,max_tokens,repeat,warmup,repeats,prefill_probe_tokens,latency_sec,status,error,gpu_memory_total_bytes,model_memory_before_load_bytes,model_memory_after_load_bytes,model_memory_delta_load_bytes,gpu_memory_start_used_bytes,gpu_memory_peak_used_bytes,gpu_memory_end_used_bytes,gpu_memory_peak_delta_bytes,peak_memory_bytes,generated_tokens,ttft_sec,decode_loop_sec,decode_tokens,decode_tokens_per_sec,tpot_sec,tokens_per_sec,requests_per_sec,prefill_probe_latency_sec,prefill_probe_generated_tokens,prefill_probe_ttft_sec,prefill_probe_decode_loop_sec,prefill_probe_decode_tokens,prefill_probe_decode_tokens_per_sec,prefill_probe_tpot_sec,prefill_probe_tokens_per_sec,prefill_probe_requests_per_sec,prefill_probe_gpu_memory_total_bytes,prefill_probe_gpu_memory_start_used_bytes,prefill_probe_gpu_memory_peak_used_bytes,prefill_probe_gpu_memory_end_used_bytes,prefill_probe_gpu_memory_peak_delta_bytes
1778100942,soumil1/mamba2-10m-slimpajama-500m,off,normal,1,128,,32,0,1,5,1,0.3111397409811616,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.026761770248413086,0.283512266993057,31,109.34271144168576,0.009145556999776032,102.84767834250233,3.213989948203198,0.02000237302854657,1,0.018573760986328125,0.0,0,0.0,0.0,49.99406813245812,49.99406813245812,16928342016,9454682112,9454682112,9454682112,0
1778100943,soumil1/mamba2-10m-slimpajama-500m,off,normal,1,128,,32,1,1,5,1,0.3164949319907464,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.026749134063720703,0.2885860039968975,31,107.42031689219853,0.00930922593538379,101.10746418187703,3.1596082556836573,0.023781254014465958,1,0.022072792053222656,0.0,0,0.0,0.0,42.0499271986123,42.0499271986123,16928342016,9454682112,9454682112,9454682112,0
1778100943,soumil1/mamba2-10m-slimpajama-500m,off,normal,1,128,,32,2,1,5,1,0.31244512100238353,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.0278470516204834,0.28363260097103193,31,109.29632169880959,0.00914943874100103,102.41798590849457,3.2005620596404554,0.023016032006125897,1,0.021155118942260742,0.0,0,0.0,0.0,43.447975729867,43.447975729867,16928342016,9454682112,9454682112,9454682112,0
1778100944,soumil1/mamba2-10m-slimpajama-500m,off,normal,1,128,,32,3,1,5,1,0.3136689530219883,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.02692246437072754,0.2858382579870522,31,108.45294194804471,0.009220588967324264,102.01838496192127,3.1880745300600397,0.021348831010982394,1,0.01959967613220215,0.0,0,0.0,0.0,46.84097220524974,46.84097220524974,16928342016,9454682112,9454682112,9454682112,0
1778100944,soumil1/mamba2-10m-slimpajama-500m,off,normal,1,128,,32,4,1,5,1,0.30713457602541894,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.02662825584411621,0.2795544440159574,31,110.89074297896144,0.009017885290837337,104.18885562839279,3.2559017383872746,0.020599684969056398,1,0.019260168075561523,0.0,0,0.0,0.0,48.5444316989381,48.5444316989381,16928342016,9454682112,9454682112,9454682112,0
1778100945,soumil1/mamba2-10m-slimpajama-500m,off,repeated_prefix,1,,512,32,0,1,5,1,0.3267610060283914,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.027325868606567383,0.2989976729732007,31,103.67973667399929,0.009645086224941958,97.93090182008928,3.06034068187779,0.01945323299150914,1,0.01878666877746582,0.0,0,0.0,0.0,51.40533711987491,51.40533711987491,16928342016,9454682112,9454682112,9454682112,0
1778100945,soumil1/mamba2-10m-slimpajama-500m,off,repeated_prefix,1,,512,32,1,1,5,1,0.31063949898816645,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.027155399322509766,0.2830888610333204,31,109.50625145350105,0.009131898743010337,103.01330031831854,3.2191656349474544,0.021929906972218305,1,0.021181821823120117,0.0,0,0.0,0.0,45.599828638892106,45.599828638892106,16928342016,9454682112,9454682112,9454682112,0
1778100945,soumil1/mamba2-10m-slimpajama-500m,off,repeated_prefix,1,,512,32,2,1,5,1,0.3195558210136369,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.026363134384155273,0.29280957096489146,31,105.8708562628131,0.009445470031125532,100.13899887191984,3.129343714747495,0.020198565965984017,1,0.01967453956604004,0.0,0,0.0,0.0,49.50846518926537,49.50846518926537,16928342016,9454682112,9454682112,9454682112,0
1778100946,soumil1/mamba2-10m-slimpajama-500m,off,repeated_prefix,1,,512,32,3,1,5,1,0.30596456298371777,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.026703596115112305,0.2785947769880295,31,111.27272497765452,0.008986928289936434,104.58727536267955,3.268352355083736,0.0213504409766756,1,0.020772933959960938,0.0,0,0.0,0.0,46.837440083436924,46.837440083436924,16928342016,9454682112,9454682112,9454682112,0
1778100946,soumil1/mamba2-10m-slimpajama-500m,off,repeated_prefix,1,,512,32,4,1,5,1,0.3122933499980718,ok,,16928342016,323682304,4960485376,4636803072,9454682112,9454682112,9454682112,0,9454682112,32,0.026950359344482422,0.28487634897464886,31,108.8191424510242,0.009189559644343512,102.46775988088629,3.2021174962776966,0.019661661004647613,1,0.018959999084472656,0.0,0,0.0,0.0,50.86040288069358,50.86040288069358,16928342016,9454682112,9454682112,9454682112,0
1778100970,soumil1/mamba2-10m-slimpajama-500m,on,normal,1,128,,32,0,1,5,1,0.33567850396502763,ok,,16928342016,323682304,4960485376,4636803072,9458876416,9458876416,9458876416,0,9458876416,32,0.019216060638427734,0.3153767740004696,31,98.29512683122898,0.010173444322595794,95.3293095089994,2.9790409221562313,0.021227228979114443,1,0.019925832748413086,0.0,0,0.0,0.0,47.10930479828074,47.10930479828074,16928342016,9458876416,9458876416,9458876416,0
1778100971,soumil1/mamba2-10m-slimpajama-500m,on,normal,1,128,,32,1,1,5,1,0.3158534379908815,ok,,16928342016,323682304,4960485376,4636803072,9458876416,9458876416,9458876416,0,9458876416,32,0.019649982452392578,0.2949047770234756,31,105.11867699427695,0.009513057323337923,101.31281205469678,3.1660253767092743,0.021907170012127608,1,0.020309925079345703,0.0,0,0.0,0.0,45.64715567763473,45.64715567763473,16928342016,9458876416,9458876416,9458876416,0
